Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    3.82,     3.000,     3.000,     0.000,     0.117,     2.883
    3.83,     3.000,     3.000,     0.000,     0.117,     2.883
    3.84,     3.000,     3.000,     0.000,     0.117,     2.883
    3.85,     3.000,     3.000,     0.000,     0.117,     2.883
    3.86,     3.000,     3.000,     0.000,     0.117,     2.883
    3.87,     3.000,     3.000,     0.000,     0.117,     2.883
    3.88,     3.000,     3.000,     0.000,     0.117,     2.883
    3.89,     3.000,     3.000,     0.000,     0.117,     2.883
    3.90,     3.000,     3.000,     0.000,     0.117,     2.883
    3.91,     3.000,     3.000,     0.000,     0.117,     2.883
    3.92,     3.000,     3.000,     0.000,     0.117,     2.883
    3.93,     3.000,     3.000,     0.000,     0.117,     2.883
    3.94,     3.000,     3.000,     0.000,     0.117,     2.883
    3.95,     3.000,     3.000,     0.000,     0.117,     2.883
    3.96,     3.000,     3.000,     0.000,     0.117,     2.883
    3.97,     3.000,     3.000,     0.000,     0.117,     2.883
    3.98,     3.000,     3.000,     0.000,     0.117,     2.883
    3.99,     3.000,     3.000,     0.000,     0.117,     2.883
    4.00,     3.000,     3.000,     0.000,     0.117,     2.883
    4.01,     3.000,     3.000,     0.000,     0.117,     2.883
    4.02,     3.000,     3.000,     0.000,     0.117,     2.883
    4.03,     3.000,     3.000,     0.000,     0.117,     2.883
    4.04,     3.000,     3.000,     0.000,     0.117,     2.883
    4.05,     3.000,     3.000,     0.000,     0.117,     2.883
    4.06,     3.000,     3.000,     0.000,     0.117,     2.883
    4.07,     3.000,     3.000,     0.000,     0.117,     2.883
    4.08,     3.000,     3.000,     0.000,     0.117,     2.883
    4.09,     3.000,     3.000,     0.000,     0.117,     2.883
    4.10,     3.000,     3.000,     0.000,     0.117,     2.883
    4.11,     3.000,     3.000,     0.000,     0.117,     2.883
    4.12,     3.000,     3.000,     0.000,     0.117,     2.883
    4.13,     3.000,     3.000,     0.000,     0.117,     2.883
    4.14,     3.000,     3.000,     0.000,     0.117,     2.883
    4.15,     3.000,     3.000,     0.000,     0.117,     2.883
    4.16,     3.000,     3.000,     0.000,     0.117,     2.883
    4.17,     3.000,     3.000,     0.000,     0.117,     2.883
    4.18,     3.000,     3.000,     0.000,     0.117,     2.883
    4.19,     3.000,     3.000,     0.000,     0.117,     2.883
    4.20,     3.000,     3.000,     0.000,     0.117,     2.883
    4.21,     3.000,     3.000,     0.000,     0.117,     2.883
    4.22,     3.000,     3.000,     0.000,     0.117,     2.883
    4.23,     3.000,     3.000,     0.000,     0.117,     2.883
    4.24,     3.000,     3.000,     0.000,     0.117,     2.883
    4.25,     3.000,     3.000,     0.000,     0.117,     2.883
    4.26,     3.000,     3.000,     0.000,     0.117,     2.883
    4.27,     3.000,     3.000,     0.000,     0.117,     2.883
    4.28,     3.000,     3.000,     0.000,     0.117,     2.883
    4.29,     3.000,     3.000,     0.000,     0.117,     2.883
    4.30,     3.000,     3.000,     0.000,     0.117,     2.883
    4.31,     3.000,     3.000,     0.000,     0.117,     2.883
    4.32,     3.000,     3.000,     0.000,     0.117,     2.883
    4.33,     3.000,     3.000,     0.000,     0.117,     2.883
    4.34,     3.000,     3.000,     0.000,     0.117,     2.883
    4.35,     3.000,     3.000,     0.000,     0.117,     2.883
    4.36,     3.000,     3.000,     0.000,     0.117,     2.883
    4.37,     3.000,     3.000,     0.000,     0.117,     2.883
    4.38,     3.000,     3.000,     0.000,     0.117,     2.883
    4.39,     3.000,     3.000,     0.000,     0.117,     2.883
    4.40,     3.000,     3.000,     0.000,     0.117,     2.883
    4.41,     3.000,     3.000,     0.000,     0.117,     2.883
    4.42,     3.000,     3.000,     0.000,     0.117,     2.883
    4.43,     3.000,     3.000,     0.000,     0.117,     2.883
    4.44,     3.000,     3.000,     0.000,     0.117,     2.883
    4.45,     3.000,     3.000,     0.000,     0.117,     2.883
    4.46,     3.000,     3.000,     0.000,     0.117,     2.883
    4.47,     3.000,     3.000,     0.000,     0.117,     2.883
    4.48,     3.000,     3.000,     0.000,     0.117,     2.883
    4.49,     3.000,     3.000,     0.000,     0.117,     2.883
    4.50,     3.000,     3.000,     0.000,     0.117,     2.883
    4.51,     3.000,     3.000,     0.000,     0.117,     2.883
    4.52,     3.000,     3.000,     0.000,     0.117,     2.883
    4.53,     3.000,     3.000,     0.000,     0.117,     2.883
    4.54,     3.000,     3.000,     0.000,     0.117,     2.883
    4.55,     3.000,     3.000,     0.000,     0.117,     2.883
    4.56,     3.000,     3.000,     0.000,     0.117,     2.883
    4.57,     3.000,     3.000,     0.000,     0.117,     2.883
    4.58,     3.000,     3.000,     0.000,     0.117,     2.883
