Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    3.22,         0.00,       342.97,        -0.49,        45.41,       198.41,        99.62,
    3.23,         0.00,       342.48,        -0.49,        45.62,       198.07,        99.26,
    3.24,         0.00,       341.99,        -0.49,        45.82,       197.73,        98.91,
    3.25,         0.00,       341.50,        -0.49,        46.03,       197.39,        98.55,
    3.26,         0.00,       341.01,        -0.49,        46.24,       197.05,        98.20,
    3.27,         0.00,       340.53,        -0.49,        46.44,       196.71,        97.85,
    3.28,         0.00,       340.04,        -0.49,        46.65,       196.37,        97.49,
    3.29,         0.00,       339.56,        -0.49,        46.85,       196.04,        97.14,
    3.30,         0.00,       339.08,        -0.49,        47.06,       195.70,        96.80,
    3.31,         0.00,       338.61,        -0.49,        47.26,       195.37,        96.45,
    3.32,         0.00,       338.13,        -0.49,        47.46,       195.03,        96.11,
    3.33,         0.00,       337.66,        -0.49,        47.67,       194.70,        95.76,
    3.34,         0.00,       337.19,        -0.49,        47.87,       194.37,        95.42,
    3.35,         0.00,       336.72,        -0.49,        48.07,       194.04,        95.08,
    3.36,         0.00,       336.26,        -0.49,        48.27,       193.72,        94.74,
    3.37,         0.00,       335.79,        -0.49,        48.47,       193.39,        94.40,
    3.38,         0.00,       335.33,        -0.49,        48.67,       193.06,        94.07,
    3.39,         0.00,       334.87,        -0.49,        48.87,       192.74,        93.73,
    3.40,         0.00,       334.41,        -0.49,        49.07,       192.42,        93.40,
    3.41,         0.00,       333.96,        -0.49,        49.27,       192.09,        93.07,
    3.42,         0.00,       333.50,        -0.49,        49.47,       191.77,        92.73,
    3.43,         0.00,       333.05,        -0.49,        49.66,       191.45,        92.40,
    3.44,         0.00,       332.60,        -0.49,        49.86,       191.13,        92.08,
    3.45,         0.00,       332.15,        -0.49,        50.06,       190.82,        91.75,
    3.46,         0.00,       331.70,        -0.49,        50.25,       190.50,        91.42,
    3.47,         0.00,       331.26,        -0.49,        50.45,       190.18,        91.10,
    3.48,         0.00,       330.82,        -0.49,        50.64,       189.87,        90.78,
    3.49,         0.00,       330.38,        -0.49,        50.84,       189.55,        90.46,
    3.50,         0.00,       329.94,        -0.49,        51.03,       189.24,        90.14,
    3.51,         0.00,       329.50,        -0.49,        51.22,       188.93,        89.82,
    3.52,         0.00,       329.06,        -0.49,        51.42,       188.62,        89.50,
    3.53,         0.00,       328.63,        -0.49,        51.61,       188.31,        89.18,
    3.54,         0.00,       328.20,        -0.49,        51.80,       188.00,        88.87,
    3.55,         0.00,       327.77,        -0.49,        51.99,       187.70,        88.56,
    3.56,         0.00,       327.34,        -0.49,        52.18,       187.39,        88.24,
    3.57,         0.00,       326.92,        -0.49,        52.37,       187.08,        87.93,
    3.58,         0.00,       326.49,        -0.49,        52.56,       186.78,        87.62,
    3.59,         0.00,       326.07,        -0.49,        52.75,       186.48,        87.32,
    3.60,         0.00,       325.65,        -0.49,        52.94,       186.17,        87.01,
    3.61,         0.00,       325.23,        -0.49,        53.13,       185.87,        86.70,
    3.62,         0.00,       324.81,        -0.49,        53.31,       185.57,        86.40,
    3.63,         0.00,       324.39,        -0.49,        53.50,       185.27,        86.10,
    3.64,         0.00,       323.98,        -0.49,        53.69,       184.97,        85.79,
    3.65,         0.00,       323.57,        -0.49,        53.87,       184.68,        85.49,
    3.66,         0.00,       323.16,        -0.49,        54.06,       184.38,        85.19,
    3.67,         0.00,       322.75,        -0.49,        54.24,       184.08,        84.90,
    3.68,         0.00,       322.34,        -0.49,        54.43,       183.79,        84.60,
